SP_ID,year,observed,expected
S02000685,2007,96,83.96388985
S02000686,2007,72,86.57516654
S02000687,2007,62,68.5966211
S02000688,2007,104,109.3069266
S02000689,2007,63,127.3734155
S02000690,2007,59,110.187252
S02000691,2007,140,105.9092358
S02000692,2007,173,121.7506263
S02000693,2007,72,89.83036068
S02000694,2007,87,83.55415608
S02000695,2007,63,98.50976337
S02000696,2007,66,64.48287867
S02000697,2007,96,86.98741681
S02000698,2007,70,77.57797308
S02000699,2007,95,88.90117294
S02000700,2007,57,47.77213877
S02000701,2007,129,83.46774987
S02000702,2007,43,72.89744948
S02000703,2007,55,57.75339647
S02000704,2007,76,64.25042344
S02000705,2007,139,128.8885764
S02000706,2007,90,91.82056447
S02000707,2007,98,77.5395499
S02000708,2007,84,75.01145434
S02000709,2007,167,122.3509433
S02000710,2007,100,84.25324516
S02000711,2007,55,63.1385782
S02000712,2007,73,68.15055239
S02000713,2007,59,67.12912205
S02000714,2007,81,64.25459594
S02000715,2007,70,57.6099763
S02000716,2007,75,54.25439258
S02000771,2007,35,57.6451575
S02000772,2007,49,81.29541011
S02000773,2007,47,93.74422128
S02000774,2007,101,99.39291408
S02000775,2007,105,104.893213
S02000776,2007,87,108.620965
S02000777,2007,67,93.49346263
S02000778,2007,118,103.6727928
S02000779,2007,56,97.98538905
S02000780,2007,70,89.73324184
S02000781,2007,154,132.4851057
S02000782,2007,88,90.82690893
S02000783,2007,97,95.79069659
S02000784,2007,107,126.7239639
S02000785,2007,67,94.95480563
S02000786,2007,40,100.4543619
S02000787,2007,86,149.4929616
S02000923,2007,59,110.9990418
S02000925,2007,62,84.44981313
S02000926,2007,83,67.52987499
S02000927,2007,47,58.76141079
S02000983,2007,48,57.91312367
S02000984,2007,41,70.16805611
S02000985,2007,98,96.49533919
S02000986,2007,60,64.970509
S02000987,2007,91,109.2289327
S02000988,2007,115,102.3882141
S02000989,2007,52,68.61029584
S02000990,2007,52,100.5626999
S02000991,2007,93,135.2168833
S02000992,2007,78,90.67356821
S02000993,2007,45,70.93326445
S02000994,2007,104,70.35186986
S02000995,2007,102,107.58668
S02000996,2007,42,71.952245
S02000997,2007,77,73.06835521
S02000998,2007,90,71.84002404
S02000999,2007,55,109.6770875
S02001000,2007,102,126.2576978
S02001001,2007,70,68.74177161
S02001002,2007,41,114.802912
S02001003,2007,108,62.8872535
S02001004,2007,109,129.8122202
S02001005,2007,86,92.24053019
S02001006,2007,76,83.99522722
S02001007,2007,110,120.1894242
S02001008,2007,51,96.59967197
S02001009,2007,27,59.2637917
S02001010,2007,87,73.85613346
S02001011,2007,100,116.7462171
S02001012,2007,30,58.58891257
S02001013,2007,76,115.1682516
S02001014,2007,121,111.8541622
S02001015,2007,49,95.67220517
S02001016,2007,66,60.16959316
S02001017,2007,55,107.4630691
S02001018,2007,56,102.7251108
S02001019,2007,86,115.6952873
S02001020,2007,58,95.13068732
S02001146,2007,69,70.07569028
S02001148,2007,65,65.77346542
S02001149,2007,112,94.85913231
S02001150,2007,60,107.0279324
S02001152,2007,76,67.17480119
S02001153,2007,65,80.43898777
S02001154,2007,33,76.14652169
S02001156,2007,92,96.50797024
S02001157,2007,71,74.32186363
S02001158,2007,32,70.25258815
S02001159,2007,72,122.8883924
S02001160,2007,95,78.19127092
S02001161,2007,73,83.29898629
S02001162,2007,49,72.05108073
S02001184,2007,65,87.83255471
S02001185,2007,93,98.64605172
S02001186,2007,92,122.7755431
S02001187,2007,107,114.3289793
S02001188,2007,97,125.6636377
S02001189,2007,52,79.65863676
S02001190,2007,54,101.9171419
S02001191,2007,76,101.5891933
S02001192,2007,127,134.1808145
S02001193,2007,62,92.18086685
S02001194,2007,52,89.89874045
S02001195,2007,127,115.6673595
S02001196,2007,86,96.21817614
S02001197,2007,61,90.20706587
S02001198,2007,90,101.8638141
S02001199,2007,84,84.86237835
S02001200,2007,104,115.3991379
S02001201,2007,74,109.1807346
S02000260,2008,105,103.0956187
S02000261,2008,10,47.81801528
S02000262,2008,43,97.87307273
S02000263,2008,37,80.18075467
S02000264,2008,54,132.9175633
S02000265,2008,22,59.12567498
S02000266,2008,35,64.74769924
S02000267,2008,36,73.02601139
S02000268,2008,70,141.8539675
S02000269,2008,29,88.85732977
S02000270,2008,70,132.1903931
S02000271,2008,27,95.2935699
S02000272,2008,38,95.72116846
S02000273,2008,26,70.00371391
S02000274,2008,36,69.38712569
S02000275,2008,45,65.61276065
S02000276,2008,39,101.5776407
S02000277,2008,94,81.84947221
S02000278,2008,27,57.99465115
S02000279,2008,63,113.9329669
S02000280,2008,52,79.76301747
S02000281,2008,71,94.64229
S02000282,2008,29,84.07673307
S02000283,2008,58,56.37095332
S02000284,2008,60,71.66733718
S02000285,2008,23,56.89096063
S02000286,2008,50,86.89433924
S02000287,2008,58,96.89898994
S02000310,2008,51,105.1266233
S02000311,2008,69,153.4016685
S02000312,2008,34,68.37698978
S02000313,2008,60,112.1597505
S02000314,2008,115,119.6247537
S02000316,2008,19,84.55937125
S02000317,2008,54,123.3818143
S02000318,2008,58,133.877072
S02000319,2008,28,63.35342868
S02000320,2008,39,72.10579146
S02000321,2008,102,123.6791994
S02000322,2008,68,75.18119421
S02000323,2008,38,83.92174501
S02000324,2008,57,84.64551008
S02000325,2008,45,117.2901945
S02000326,2008,47,125.8014368
S02000327,2008,66,99.04564104
S02000328,2008,153,123.6546414
S02000329,2008,51,74.62936415
S02000584,2008,106,76.93392405
S02000585,2008,109,109.2424047
S02000586,2008,58,76.15714289
S02000587,2008,85,87.15392399
S02000588,2008,107,73.50365571
S02000589,2008,124,105.3284738
S02000590,2008,65,58.65200092
S02000591,2008,26,58.10657367
S02000592,2008,85,91.09596024
S02000593,2008,43,112.5328937
S02000594,2008,59,72.97231901
S02000595,2008,64,74.34199497
S02000596,2008,85,111.357617
S02000597,2008,152,107.3119267
S02000598,2008,41,75.13551061
S02000599,2008,64,85.66453088
S02000600,2008,45,82.91989225
S02000601,2008,102,82.93717414
S02000602,2008,102,113.6283562
S02000603,2008,56,77.91465766
S02000604,2008,49,67.86254329
S02000605,2008,43,52.02693472
S02000606,2008,62,72.44441231
S02000607,2008,72,90.16739429
S02000608,2008,95,116.0469504
S02000609,2008,45,62.21940602
S02000610,2008,160,129.340218
S02000611,2008,74,85.00197843
S02000612,2008,81,122.26393
S02000613,2008,68,65.34243949
S02000614,2008,50,91.54950005
S02000615,2008,100,83.81141403
S02000616,2008,94,100.527202
S02000617,2008,141,86.63471991
S02000618,2008,70,98.98806714
S02000619,2008,103,80.52490204
S02000620,2008,154,109.2134906
S02000621,2008,133,126.8696994
S02000622,2008,70,73.27410395
S02000623,2008,48,84.62349638
S02000624,2008,69,85.2381525
S02000625,2008,54,77.72322884
S02000626,2008,89,86.0981605
S02000627,2008,102,122.8651034
S02000628,2008,156,126.3662037
S02000629,2008,60,57.29588523
S02000630,2008,101,67.60674025
S02000631,2008,74,84.00499236
S02000632,2008,126,102.5819079
S02000633,2008,168,97.58565532
S02000634,2008,65,65.42751641
S02000635,2008,145,111.8399702
S02000636,2008,55,93.36336579
S02000637,2008,76,88.66525259
S02000638,2008,116,95.56992348
S02000639,2008,83,71.51402334
S02000640,2008,147,121.8535584
S02000641,2008,136,125.5511536
S02000642,2008,70,71.85078763
S02000643,2008,136,74.44918099
S02000644,2008,61,60.47165279
S02000645,2008,44,80.68736223
S02000646,2008,110,88.86475961
S02000647,2008,77,69.99098059
S02000648,2008,128,97.48706162
S02000649,2008,39,52.85044376
S02000650,2008,61,68.63712448
S02000651,2008,36,61.12190441
S02000652,2008,116,66.91543352
S02000653,2008,62,60.27469618
S02000654,2008,154,135.3270667
S02000655,2008,44,65.9606563
S02000656,2008,172,103.953392
S02000657,2008,126,95.87252246
S02000658,2008,119,173.7512128
S02000659,2008,141,125.0967013
S02000660,2008,161,126.6847487
S02000661,2008,64,92.62229402
S02000662,2008,83,59.74112333
S02000663,2008,152,109.4147911
S02000664,2008,82,95.60622251
S02000665,2008,62,82.49915542
S02000666,2008,208,124.7237131
S02000667,2008,148,124.8530696
S02000668,2008,41,49.50494645
S02000669,2008,88,75.12434001
S02000670,2008,94,65.12511111
S02000671,2008,84,70.76964739
S02000672,2008,36,80.86519645
S02000673,2008,71,60.50395766
S02000674,2008,85,64.83100941
S02000675,2008,86,99.77429268
S02000676,2008,104,76.78598607
S02000677,2008,28,75.3189192
S02000678,2008,103,72.1382159
S02000679,2008,42,82.19653059
S02000680,2008,75,81.6808241
S02000681,2008,41,73.96463758
S02000682,2008,27,60.28782114
S02000683,2008,36,57.48490875
S02000684,2008,74,71.20454499
S02000685,2008,116,86.71792064
S02000686,2008,61,90.05776767
S02000687,2008,91,71.68589261
S02000688,2008,104,114.4950955
S02000689,2008,76,133.4242228
S02000690,2008,41,117.6249924
S02000691,2008,188,110.3223394
S02000692,2008,204,127.3808065
S02000693,2008,100,92.28123618
S02000694,2008,94,88.75842755
S02000695,2008,62,105.000127
S02000696,2008,61,68.22781568
S02000697,2008,140,90.50366223
S02000698,2008,62,82.55474204
S02000699,2008,83,91.81569483
S02000700,2008,62,47.43261426
S02000701,2008,141,85.54677384
S02000702,2008,59,82.55215589
S02000703,2008,43,60.56961881
S02000704,2008,78,67.8542042
S02000705,2008,133,133.6546759
S02000706,2008,111,92.76095542
S02000707,2008,95,83.21220444
S02000708,2008,91,77.28138405
S02000709,2008,146,126.7586977
S02000710,2008,83,87.17576295
S02000711,2008,62,65.37268282
S02000712,2008,92,71.17411983
S02000713,2008,59,70.79313495
S02000714,2008,89,67.41761662
S02000715,2008,84,58.96873672
S02000716,2008,89,55.93700858
S02000771,2008,47,62.03114478
S02000772,2008,53,85.76920052
S02000773,2008,38,99.57801474
S02000774,2008,107,103.8974121
S02000775,2008,115,110.4051462
S02000776,2008,131,116.8698985
S02000777,2008,77,99.97459748
S02000778,2008,93,108.583165
S02000779,2008,64,103.4971402
S02000780,2008,75,93.24622437
S02000781,2008,129,136.6135636
S02000782,2008,117,95.08442478
S02000783,2008,89,99.54216081
S02000784,2008,94,134.2817627
S02000785,2008,70,98.87672716
S02000786,2008,52,106.0944445
S02000787,2008,77,155.4783852
S02000923,2008,77,119.4482144
S02000925,2008,93,88.94585431
S02000926,2008,95,70.92218101
S02000927,2008,46,64.02811671
S02000983,2008,47,61.31892388
S02000984,2008,64,75.2727842
S02000985,2008,93,99.14536158
S02000986,2008,73,70.37520072
S02000987,2008,113,113.9621347
S02000988,2008,132,107.3602546
S02000989,2008,50,72.29356784
S02000990,2008,49,107.3928351
S02000991,2008,109,143.7996603
S02000992,2008,75,95.31728357
S02000993,2008,46,74.50338173
S02000994,2008,111,73.97168004
S02000995,2008,121,111.2731462
S02000996,2008,45,75.72616421
S02000997,2008,86,76.40104187
S02000998,2008,73,74.08374621
S02000999,2008,94,117.2450191
S02001000,2008,143,137.2813366
S02001001,2008,95,72.65231461
S02001002,2008,48,120.9060331
S02001003,2008,143,65.38271011
S02001004,2008,115,132.8334492
S02001005,2008,89,95.49906504
S02001006,2008,68,89.15464513
S02001007,2008,164,124.9038987
S02001008,2008,69,103.3600431
S02001009,2008,32,62.55124827
S02001010,2008,78,80.11362598
S02001011,2008,112,125.1474937
S02001012,2008,30,62.56237986
S02001013,2008,96,121.3041909
S02001014,2008,128,116.0188674
S02001015,2008,46,103.8034008
S02001016,2008,75,66.48368198
S02001017,2008,82,113.5437605
S02001018,2008,54,110.9341736
S02001019,2008,103,121.3473434
S02001020,2008,44,100.8612859
S02001146,2008,66,74.93657707
S02001148,2008,56,69.75294982
S02001149,2008,99,97.23132668
S02001150,2008,74,113.6944284
S02001152,2008,73,70.20957882
S02001153,2008,71,85.73828357
S02001154,2008,34,81.58628262
S02001156,2008,87,103.1995697
S02001157,2008,65,77.77032175
S02001158,2008,43,73.42365309
S02001159,2008,62,130.5020009
S02001160,2008,99,81.58333133
S02001161,2008,79,87.26251416
S02001162,2008,85,74.76428201
S02001184,2008,81,92.04597537
S02001185,2008,124,103.9037449
S02001186,2008,149,126.7912644
S02001187,2008,132,117.3059994
S02001188,2008,116,131.7587092
S02001189,2008,48,84.1458807
S02001190,2008,70,109.0351415
S02001191,2008,84,105.5757307
S02001192,2008,100,140.5581903
S02001193,2008,73,99.50437062
S02001194,2008,46,94.17379478
S02001195,2008,161,122.1453282
S02001196,2008,87,101.876924
S02001197,2008,80,94.40302721
S02001198,2008,101,107.1386868
S02001199,2008,95,90.16811935
S02001200,2008,79,119.5248017
S02001201,2008,63,115.2993169
S02000260,2009,111,99.5156603
S02000261,2009,26,47.77799093
S02000262,2009,46,95.01386538
S02000263,2009,32,81.93078833
S02000264,2009,52,128.9152861
S02000265,2009,29,58.218016
S02000266,2009,32,62.94401899
S02000267,2009,30,71.81601386
S02000268,2009,65,138.1200524
S02000269,2009,39,86.38864605
S02000270,2009,74,126.9555927
S02000271,2009,36,92.58345004
S02000272,2009,45,93.209035
S02000273,2009,27,69.36514837
S02000274,2009,33,66.97886395
S02000275,2009,38,63.25728191
S02000276,2009,46,100.217924
S02000277,2009,94,78.47658443
S02000278,2009,34,57.6769094
S02000279,2009,55,107.9953214
S02000280,2009,69,76.73186859
S02000281,2009,68,91.39826078
S02000282,2009,31,80.74314549
S02000283,2009,36,53.94194154
S02000284,2009,67,70.28637156
S02000285,2009,31,59.30000434
S02000286,2009,63,83.9016875
S02000287,2009,55,96.5996365
S02000310,2009,65,102.7823804
S02000311,2009,62,148.2454116
S02000312,2009,23,66.53730662
S02000313,2009,66,111.9353326
S02000314,2009,86,116.5010689
S02000316,2009,27,83.03776012
S02000317,2009,56,122.2120668
S02000318,2009,72,130.3337706
S02000319,2009,27,62.43200485
S02000320,2009,27,70.61234872
S02000321,2009,84,120.822083
S02000322,2009,83,73.95606517
S02000323,2009,37,84.31435345
S02000324,2009,57,82.49106419
S02000325,2009,53,113.0817802
S02000326,2009,60,121.4286119
S02000327,2009,78,94.65341117
S02000328,2009,121,119.7056458
S02000329,2009,47,71.82771383
S02000584,2009,86,74.69098871
S02000585,2009,134,108.1567223
S02000586,2009,76,77.59219401
S02000587,2009,73,84.64736738
S02000588,2009,104,71.40722618
S02000589,2009,103,99.35676028
S02000590,2009,69,57.50858555
S02000591,2009,33,56.44181253
S02000592,2009,109,88.56748139
S02000593,2009,63,105.4021241
S02000594,2009,64,69.75973854
S02000595,2009,55,72.57409837
S02000596,2009,64,108.2455079
S02000597,2009,125,105.6104678
S02000598,2009,57,71.25281142
S02000599,2009,52,81.74580322
S02000600,2009,40,79.81612522
S02000601,2009,89,80.74044459
S02000602,2009,112,109.141943
S02000603,2009,45,75.8064044
S02000604,2009,33,65.18541092
S02000605,2009,43,51.71422844
S02000606,2009,81,67.63992184
S02000607,2009,77,88.96811951
S02000608,2009,103,114.9369891
S02000609,2009,35,60.8259854
S02000610,2009,154,126.0166982
S02000611,2009,65,82.55550588
S02000612,2009,102,118.3444295
S02000613,2009,73,62.67452997
S02000614,2009,75,91.59956461
S02000615,2009,107,81.67293534
S02000616,2009,99,101.19917
S02000617,2009,123,83.71617094
S02000618,2009,91,96.55471154
S02000619,2009,100,75.95629227
S02000620,2009,145,107.4108394
S02000621,2009,151,121.9047877
S02000622,2009,71,73.70134569
S02000623,2009,33,80.75958846
S02000624,2009,51,85.24858037
S02000625,2009,73,73.39974841
S02000626,2009,105,82.10843542
S02000627,2009,106,118.4292335
S02000628,2009,158,122.238635
S02000629,2009,46,55.78763758
S02000630,2009,70,65.90453359
S02000631,2009,72,80.63392923
S02000632,2009,120,96.39436654
S02000633,2009,142,95.46848454
S02000634,2009,74,62.47621567
S02000635,2009,151,110.9762021
S02000636,2009,55,89.94182539
S02000637,2009,82,82.23780362
S02000638,2009,111,87.06661184
S02000639,2009,74,67.79677566
S02000640,2009,124,118.1604377
S02000641,2009,122,120.0412413
S02000642,2009,80,67.32792883
S02000643,2009,115,69.72823481
S02000644,2009,84,59.41091204
S02000645,2009,47,79.71082866
S02000646,2009,87,85.94398641
S02000647,2009,66,65.92221167
S02000648,2009,143,94.05114089
S02000649,2009,52,51.55707615
S02000650,2009,34,67.81609124
S02000651,2009,47,60.50242757
S02000652,2009,56,65.26142357
S02000653,2009,56,58.25595232
S02000654,2009,190,133.0419958
S02000655,2009,48,66.12614883
S02000656,2009,173,100.94273
S02000657,2009,104,90.03295776
S02000658,2009,123,164.8181171
S02000659,2009,114,123.8005067
S02000660,2009,185,121.3907953
S02000661,2009,43,90.12338339
S02000662,2009,79,55.92666109
S02000663,2009,161,105.4261945
S02000664,2009,61,93.74838268
S02000665,2009,72,82.6929724
S02000666,2009,173,121.2707689
S02000667,2009,137,120.1793555
S02000668,2009,46,50.47862876
S02000669,2009,79,71.26212597
S02000670,2009,62,63.07537968
S02000671,2009,65,68.30717607
S02000672,2009,30,77.5840586
S02000673,2009,51,57.41469424
S02000674,2009,83,67.82977809
S02000675,2009,70,95.38782943
S02000676,2009,98,76.5418828
S02000677,2009,35,72.70182828
S02000678,2009,93,69.92770162
S02000679,2009,46,78.88502522
S02000680,2009,72,83.11160493
S02000681,2009,50,72.71772985
S02000682,2009,20,58.43745197
S02000683,2009,32,56.01774062
S02000684,2009,116,66.91731678
S02000685,2009,107,83.16002166
S02000686,2009,78,89.62435989
S02000687,2009,100,70.35334944
S02000688,2009,93,111.211566
S02000689,2009,69,127.9344043
S02000690,2009,70,112.9244817
S02000691,2009,129,106.452488
S02000692,2009,186,124.7603361
S02000693,2009,110,88.34597441
S02000694,2009,105,85.68803199
S02000695,2009,74,104.698466
S02000696,2009,66,68.12350604
S02000697,2009,134,84.77782642
S02000698,2009,48,78.28708552
S02000699,2009,95,86.62649982
S02000700,2009,61,44.73191153
S02000701,2009,115,83.05896968
S02000702,2009,41,78.73965282
S02000703,2009,57,58.5249237
S02000704,2009,106,66.3244568
S02000705,2009,122,128.3423251
S02000706,2009,98,87.71341815
S02000707,2009,109,79.29127365
S02000708,2009,93,72.82942457
S02000709,2009,144,119.7370146
S02000710,2009,94,83.44414717
S02000711,2009,53,62.56769867
S02000712,2009,91,69.5331723
S02000713,2009,57,70.29684641
S02000714,2009,86,65.12359698
S02000715,2009,76,56.81138984
S02000716,2009,96,54.5177841
S02000771,2009,40,59.05642374
S02000772,2009,65,81.21018665
S02000773,2009,48,100.0741014
S02000774,2009,102,99.40903403
S02000775,2009,92,105.5209185
S02000776,2009,89,111.8998412
S02000777,2009,57,96.92883534
S02000778,2009,115,106.1179768
S02000779,2009,43,98.47833625
S02000780,2009,75,90.08478307
S02000781,2009,121,132.7819864
S02000782,2009,114,92.64929351
S02000783,2009,100,96.8655428
S02000784,2009,116,127.6104741
S02000785,2009,70,96.54439911
S02000786,2009,53,102.0743444
S02000787,2009,68,148.202678
S02000923,2009,71,115.2765512
S02000925,2009,87,86.87791733
S02000926,2009,69,68.08293273
S02000927,2009,58,63.87487266
S02000983,2009,51,60.45868629
S02000984,2009,55,75.6166307
S02000985,2009,91,95.63567598
S02000986,2009,47,68.00577231
S02000987,2009,97,110.2035751
S02000988,2009,105,104.2026047
S02000989,2009,40,70.55064106
S02000990,2009,35,103.913009
S02000991,2009,133,136.6811722
S02000992,2009,80,91.68005361
S02000993,2009,49,74.70787735
S02000994,2009,104,71.68480484
S02000995,2009,104,109.5104002
S02000996,2009,39,73.92541304
S02000997,2009,66,73.71451834
S02000998,2009,82,72.90600058
S02000999,2009,64,114.0476396
S02001000,2009,112,132.0436521
S02001001,2009,79,68.32117881
S02001002,2009,45,116.7786179
S02001003,2009,128,66.06946758
S02001004,2009,110,123.8772952
S02001005,2009,86,91.07043276
S02001006,2009,86,87.68958446
S02001007,2009,159,120.5264166
S02001008,2009,38,100.5156223
S02001009,2009,29,61.80789856
S02001010,2009,78,76.86866896
S02001011,2009,113,120.4055278
S02001012,2009,21,60.78509281
S02001013,2009,58,117.0539777
S02001014,2009,117,115.0995655
S02001015,2009,54,101.5250267
S02001016,2009,62,68.7871322
S02001017,2009,63,109.6068836
S02001018,2009,81,108.0376249
S02001019,2009,96,118.5563207
S02001020,2009,39,96.83222245
S02001146,2009,86,73.7024324
S02001148,2009,58,67.73935712
S02001149,2009,78,95.67861413
S02001150,2009,86,107.5102252
S02001152,2009,63,67.10205899
S02001153,2009,52,84.73083576
S02001154,2009,38,79.04239723
S02001156,2009,75,102.9108646
S02001157,2009,70,79.53801062
S02001158,2009,43,70.34297114
S02001159,2009,72,126.983376
S02001160,2009,89,78.19910575
S02001161,2009,72,84.86558375
S02001162,2009,78,73.59525717
S02001184,2009,97,89.82566509
S02001185,2009,124,102.2293851
S02001186,2009,146,121.461927
S02001187,2009,91,111.3731852
S02001188,2009,123,125.2820229
S02001189,2009,57,80.59821802
S02001190,2009,71,106.6238489
S02001191,2009,104,102.8617971
S02001192,2009,97,135.2011516
S02001193,2009,75,96.31729401
S02001194,2009,47,90.19361931
S02001195,2009,89,118.9150485
S02001196,2009,76,99.36372255
S02001197,2009,71,95.77495498
S02001198,2009,87,103.0383228
S02001199,2009,83,88.61807403
S02001200,2009,72,115.1617102
S02001201,2009,61,112.5031394
S02000260,2010,107,106.3148551
S02000261,2010,23,50.86722674
S02000262,2010,53,104.4657849
S02000263,2010,40,90.20685895
S02000264,2010,60,139.8731
S02000265,2010,25,63.97093025
S02000266,2010,42,68.95493934
S02000267,2010,27,78.59990919
S02000268,2010,77,149.9430307
S02000269,2010,38,94.35224906
S02000270,2010,79,137.0708508
S02000271,2010,33,99.52350124
S02000272,2010,43,101.8971458
S02000273,2010,25,74.56778269
S02000274,2010,37,71.88736695
S02000275,2010,43,69.51869043
S02000276,2010,42,108.8932605
S02000277,2010,87,81.96840247
S02000278,2010,31,61.80850308
S02000279,2010,74,116.8525017
S02000280,2010,71,82.7117399
S02000281,2010,84,98.54050574
S02000282,2010,43,87.73127461
S02000283,2010,37,58.76015357
S02000284,2010,54,75.2891284
S02000285,2010,23,63.10882769
S02000286,2010,58,91.79980743
S02000287,2010,81,106.6501088
S02000310,2010,62,111.5174037
S02000311,2010,47,160.7867483
S02000312,2010,24,70.43151664
S02000313,2010,62,119.1463243
S02000314,2010,71,124.2569267
S02000316,2010,23,91.62033692
S02000317,2010,45,132.6149089
S02000318,2010,66,142.0637775
S02000319,2010,35,66.70272792
S02000320,2010,33,76.18536988
S02000321,2010,77,131.5477408
S02000322,2010,49,80.73624688
S02000323,2010,41,90.86917189
S02000324,2010,49,88.50689147
S02000325,2010,54,122.5935191
S02000326,2010,61,129.9161672
S02000327,2010,79,101.6336646
S02000328,2010,100,129.8845277
S02000329,2010,44,78.15090195
S02000584,2010,80,79.89743857
S02000585,2010,143,116.7289343
S02000586,2010,65,84.72260588
S02000587,2010,91,89.11748185
S02000588,2010,101,74.79499142
S02000589,2010,126,104.6058578
S02000590,2010,78,64.35199046
S02000591,2010,44,61.50683904
S02000592,2010,89,92.13700094
S02000593,2010,70,111.2242467
S02000594,2010,51,73.73296229
S02000595,2010,53,74.93519439
S02000596,2010,66,115.8850267
S02000597,2010,143,111.2583378
S02000598,2010,48,75.95522387
