NAME,county,year,y,n,E
Erie,22,4,21,77376,26.09494435
Fairfield,23,4,25,75352,25.51756507
Fayette,24,4,12,25947,8.695195368
Franklin,25,4,262,851557,284.8474293
Fulton,26,4,6,33988,11.4313462
Gallia,27,4,5,26215,8.881983094
Geauga,28,4,17,63064,21.46499089
Greene,29,4,26,126846,43.38936125
Guernsey,30,4,17,39320,13.10050683
Hamilton,31,4,416,922527,305.1700735
Hancock,32,4,10,62133,20.79371872
Hardin,33,4,10,30879,10.50968449
Harrison,34,4,8,17223,5.805060916
Henry,35,4,7,27517,9.32331706
Highland,36,4,10,29875,10.04955023
Hocking,37,4,10,20863,7.058464728
Holmes,38,4,3,24026,8.131795986
Huron,39,4,21,50485,16.94612511
Jackson,40,4,15,27200,9.081338779
Jefferson,41,4,31,97126,32.61571027
Knox,42,4,12,41923,14.16273275
Lake,43,4,67,197805,66.87763821
Lawrence,44,4,14,58434,19.60267995
Licking,45,4,41,109934,37.07228189
Logan,46,4,16,35867,12.0620903
Lorain,47,4,61,259142,87.47519294
Lucas,48,4,186,487670,162.8781861
Madison,49,4,6,28971,10.08955135
Mahoning,50,4,98,306113,102.4018674
Marion,51,4,29,66303,22.58994272
Medina,52,4,19,84298,28.62955985
Meigs,53,4,8,19937,6.731421988
Mercer,54,4,9,35624,12.04064825
Miami,55,4,26,85594,28.70394522
Monroe,56,4,4,15618,5.305646605
Montgomery,57,4,184,603843,202.2021325
Morgan,58,4,6,13196,4.42633467
Morrow,59,4,4,22751,7.759787098
Muskingum,60,4,30,78926,26.20516586
Noble,61,4,3,10348,3.521749279
Ottawa,62,4,8,37686,12.69441573
Paulding,63,4,3,19786,6.699753683
Perry,64,4,15,28032,9.471714419
Pickaway,65,4,8,41444,14.12631533
Pike,66,4,5,19021,6.473807876
Portage,67,4,26,128741,43.83168613
Preble,68,4,8,35796,12.08250923
Putnam,69,4,3,31734,10.81469887
Richland,70,4,35,129342,43.92800639
Ross,71,4,26,60935,21.12505616
Sandusky,72,4,14,61114,20.53065734
Scioto,73,4,39,77827,25.92420851
Seneca,74,4,16,60765,20.34007365
Shelby,75,4,13,37595,12.73603231
Stark,76,4,135,374615,125.343598
Summit,77,4,180,550136,184.1070832
Trumbull,78,4,76,235130,79.02761882
Tuscarawas,79,4,29,78383,26.24204942
Union,80,4,8,25243,8.422998944
Van Wert,81,4,13,29106,9.739911486
Vinton,82,4,6,9377,3.218964239
Warren,83,4,24,86500,29.83184096
Washington,84,4,26,58036,19.53435446
Wayne,85,4,18,88415,29.90682836
Williams,86,4,14,33802,11.3723247
Wood,87,4,17,92655,31.19281222
Wyandot,88,4,6,22495,7.527993208
Adams,1,5,10,20714,7.588127937
Allen,2,5,36,110604,40.02313209
Ashland,3,5,12,43917,15.85390084
Ashtabula,4,5,44,100778,36.56000627
Athens,5,5,28,57450,21.22478182
Auglaize,6,5,6,39509,14.30367118
Belmont,7,5,32,83129,29.86235318
Brown,8,5,10,28859,10.50923553
Butler,9,5,102,232626,84.33491548
Carroll,10,5,6,22504,8.244938082
Champaign,11,5,14,30997,11.20148183
Clark,12,5,68,157732,56.65629717
Clermont,13,5,16,99395,36.27622286
Clinton,14,5,24,31982,11.64472354
Columbiana,15,5,24,110490,39.84797218
Coshocton,16,5,22,34908,12.56561304
Crawford,17,5,18,51451,18.57755778
Cuyahoga,18,5,680,1668472,595.4609389
Darke,19,5,18,51198,18.48759426
Defiance,20,5,16,37203,13.59889011
Delaware,21,5,16,44359,16.06715997
Erie,22,5,26,77659,28.23933261
Fairfield,23,5,36,76642,27.9396315
Fayette,24,5,10,26785,9.669961607
Franklin,25,5,302,857183,308.8029214
Fulton,26,5,16,35256,12.77970764
Gallia,27,5,4,26741,9.72557306
Geauga,28,5,8,63384,23.2224089
Greene,29,5,34,125758,46.23798707
Guernsey,30,5,14,39642,14.21408588
Hamilton,31,5,452,913285,325.3623146
Hancock,32,5,10,62665,22.57992069
Hardin,33,5,14,32177,11.79639524
Harrison,34,5,12,17439,6.332805037
Henry,35,5,0,28233,10.2897353
Highland,36,5,16,30024,10.86553447
Hocking,37,5,12,21549,7.841281056
Holmes,38,5,0,25172,9.164912611
Huron,39,5,18,51517,18.63810221
Jackson,40,5,10,27726,9.947239743
Jefferson,41,5,48,96338,34.81562816
Knox,42,5,10,42891,15.56486754
Lake,43,5,66,197928,72.11448657
Lawrence,44,5,30,60359,21.82117606
Licking,45,5,44,110677,40.18925405
Logan,46,5,12,36462,13.22068427
Lorain,47,5,72,260568,94.66492328
Lucas,48,5,194,488593,175.6848397
Madison,49,5,16,29390,10.99666928
Mahoning,50,5,104,303854,109.3588723
Marion,51,5,18,66508,24.36246801
Medina,52,5,22,85075,31.10477397
Meigs,53,5,12,20261,7.359644678
Mercer,54,5,6,36607,13.31507202
Miami,55,5,32,86753,31.32713393
Monroe,56,5,2,15406,5.630398898
Montgomery,57,5,192,601187,216.6526583
Morgan,58,5,6,13530,4.893446063
Morrow,59,5,6,23510,8.630725966
Muskingum,60,5,18,80812,28.92937762
Noble,61,5,10,10658,3.907349093
Ottawa,62,5,10,38712,14.06168482
Paulding,63,5,2,19878,7.252303643
Perry,64,5,10,27846,10.14288752
Pickaway,65,5,14,42184,15.5066039
Pike,66,5,6,20268,7.441473853
Portage,67,5,28,129497,47.44576799
Preble,68,5,16,36079,13.10940815
Putnam,69,5,4,32625,11.96087988
Richland,70,5,30,130801,47.79332847
Ross,71,5,22,61767,23.01833084
Sandusky,72,5,14,62694,22.69074718
Scioto,73,5,50,79969,28.70301833
Seneca,74,5,20,61615,22.26015847
Shelby,75,5,4,38710,14.12137496
Stark,76,5,132,371864,133.8690806
Summit,77,5,194,547161,197.1746799
Trumbull,78,5,68,246895,89.34914578
Tuscarawas,79,5,16,78760,28.40332796
Union,80,5,2,24977,8.976719757
Van Wert,81,5,10,29951,10.77911288
Vinton,82,5,0,10088,3.720214177
Warren,83,5,30,86536,32.07562175
Washington,84,5,16,58688,21.24570595
Wayne,85,5,18,89566,32.64028747
Williams,86,5,10,34686,12.59358788
Wood,87,5,30,94642,34.29190909
Wyandot,88,5,2,22840,8.238430953
Adams,1,6,7,21891,8.009698535
Allen,2,6,38,110273,39.8417897
Ashland,3,6,11,44258,15.94937711
Ashtabula,4,6,29,100428,36.33461705
Athens,5,6,23,56099,20.68804573
Auglaize,6,6,15,40370,14.6079122
Belmont,7,6,33,82704,29.67099243
Brown,8,6,10,29254,10.63746275
Butler,9,6,82,237052,85.70298977
Carroll,10,6,6,23325,8.521965926
Champaign,11,6,17,30738,11.09461583
Clark,12,6,64,157298,56.43597257
Clermont,13,6,36,102780,37.4575299
Clinton,14,6,11,32506,11.7917684
Columbiana,15,6,46,111559,40.23398157
Coshocton,16,6,14,35141,12.63573641
Crawford,17,6,18,51823,18.69565756
Cuyahoga,18,6,688,1641974,585.0269988
Darke,19,6,6,52299,18.85299168
Defiance,20,6,4,37463,13.65254167
Delaware,21,6,17,47356,17.1620941
Erie,22,6,19,78171,28.35273356
Fairfield,23,6,25,79307,28.87619533
Fayette,24,6,17,26606,9.59905073
Franklin,25,6,267,860867,309.6147032
Fulton,26,6,5,35318,12.77324412
Gallia,27,6,11,26955,9.818035869
Geauga,28,6,16,65804,24.07132617
Greene,29,6,27,126601,46.40838813
Guernsey,30,6,22,39869,14.28903291
Hamilton,31,6,418,911646,324.341107
Hancock,32,6,23,63442,22.858145
Hardin,33,6,4,32534,11.87869036
Harrison,34,6,6,17731,6.424718281
Henry,35,6,8,28520,10.39799346
Highland,36,6,13,30833,11.14179466
Hocking,37,6,12,21440,7.795318209
Holmes,38,6,7,25797,9.385123077
Huron,39,6,14,52245,18.8510553
Jackson,40,6,14,28769,10.33015143
Jefferson,41,6,36,95851,34.53981965
Knox,42,6,7,43217,15.66271231
Lake,43,6,73,201388,73.21010048
Lawrence,44,6,31,59993,21.64854112
Licking,45,6,39,110830,40.18544268
Logan,46,6,10,37091,13.41612882
Lorain,47,6,74,264778,96.04814612
Lucas,48,6,208,488564,175.4345548
Madison,49,6,7,28296,10.53608519
Mahoning,50,6,98,302497,108.614127
Marion,51,6,21,66539,24.33201295
Medina,52,6,16,90028,32.89666854
Meigs,53,6,10,21026,7.63406969
Mercer,54,6,9,37356,13.57433757
Miami,55,6,27,87900,31.69302895
Monroe,56,6,4,16028,5.856650944
Montgomery,57,6,249,591799,212.881163
Morgan,58,6,1,13451,4.85266663
Morrow,59,6,6,24438,8.966107711
Muskingum,60,6,41,80942,28.97808874
Noble,61,6,4,10692,3.917607558
Ottawa,62,6,13,38490,13.97387446
Paulding,63,6,5,20242,7.378028099
Perry,64,6,16,30078,10.94825375
Pickaway,65,6,10,43147,15.84686251
Pike,66,6,8,20361,7.44951704
Portage,67,6,27,131179,47.9585665
Preble,68,6,7,35673,12.95127382
Putnam,69,6,6,32671,11.96804144
Richland,70,6,49,130943,47.7159761
Ross,71,6,20,61980,23.0298381
Sandusky,72,6,22,63460,22.96949721
Scioto,73,6,30,79601,28.58395152
Seneca,74,6,15,62652,22.57181117
Shelby,75,6,9,40061,14.61513835
Stark,76,6,126,381185,137.084153
Summit,77,6,199,544675,195.884837
Trumbull,78,6,79,237291,85.69643609
Tuscarawas,79,6,43,80412,28.9605761
Union,80,6,6,25975,9.312394605
Van Wert,81,6,11,30246,10.90858015
Vinton,82,6,4,10313,3.79559693
Warren,83,6,13,88098,32.54657423
Washington,84,6,20,59286,21.43322591
Wayne,85,6,23,90712,33.00881726
Williams,86,6,10,34990,12.68317025
Wood,87,6,26,97650,35.33355491
Wyandot,88,6,5,22817,8.215365199
Adams,1,7,12,22558,8.698940829
Allen,2,7,41,110676,42.13188492
Ashland,3,7,12,44197,16.81724799
Ashtabula,4,7,37,101077,38.55206765
Athens,5,7,11,54052,20.93979616
Auglaize,6,7,12,40907,15.61109797
Belmont,7,7,61,82211,31.12118248
Brown,8,7,11,29486,11.30668359
Butler,9,7,78,239350,91.19728817
Carroll,10,7,5,24013,9.252517841
Champaign,11,7,12,32325,12.3230454
Clark,12,7,53,155839,58.9228391
Clermont,13,7,33,104895,40.29889556
Clinton,14,7,11,33013,12.64184492
Columbiana,15,7,31,111782,42.50559951
Coshocton,16,7,12,35122,13.32035861
Crawford,17,7,13,51466,19.55815144
Cuyahoga,18,7,701,1616282,607.2108153
Darke,19,7,14,53876,20.4932524
Defiance,20,7,8,37788,14.50115597
Delaware,21,7,16,49587,18.9664817
Erie,22,7,25,78071,29.8653853
Fairfield,23,7,37,81766,31.4194818
Fayette,24,7,12,26702,10.14631104
Franklin,25,7,301,864836,328.0727867
Fulton,26,7,4,35979,13.73321306
Gallia,27,7,13,27282,10.46805455
Geauga,28,7,12,66105,25.50430258
Greene,29,7,27,125865,48.64080406
Guernsey,30,7,15,40384,15.26791932
Hamilton,31,7,467,905183,339.7649116
Hancock,32,7,20,63896,24.26816659
Hardin,33,7,16,32101,12.36352657
Harrison,34,7,4,17832,6.813078437
Henry,35,7,6,28483,10.92750524
Highland,36,7,15,31445,11.98715532
Hocking,37,7,5,22153,8.488364629
Holmes,38,7,3,26675,10.24102188
Huron,39,7,9,52575,20.02290127
Jackson,40,7,11,28835,10.92731003
Jefferson,41,7,41,94330,35.84338727
Knox,42,7,18,43771,16.73924204
Lake,43,7,64,203651,78.07820734
Lawrence,44,7,28,60103,22.87368728
Licking,45,7,42,112351,42.96727229
Logan,46,7,18,37218,14.2103562
Lorain,47,7,72,268253,102.5359853
Lucas,48,7,219,486349,184.1034496
Madison,49,7,8,30829,12.1288764
Mahoning,50,7,136,306291,115.9286362
Marion,51,7,27,67540,26.0666322
Medina,52,7,25,92976,35.81470242
Meigs,53,7,7,21288,8.148129167
Mercer,54,7,15,37647,14.43476375
Miami,55,7,32,87887,33.45260158
Monroe,56,7,6,15881,6.125157982
Montgomery,57,7,243,585166,221.8641639
Morgan,58,7,4,13310,5.064968639
Morrow,59,7,5,25250,9.766483927
Muskingum,60,7,39,80406,30.35625495
Noble,61,7,4,10751,4.138311121
Ottawa,62,7,12,39107,14.95790219
Paulding,63,7,4,20427,7.844525899
Perry,64,7,15,28961,11.10210421
Pickaway,65,7,9,43554,16.83149239
Pike,66,7,6,20465,7.904754133
Portage,67,7,41,132611,51.0916019
Preble,68,7,9,35503,13.5869614
Putnam,69,7,6,32577,12.55373199
Richland,70,7,45,130470,50.13865248
Ross,71,7,19,61616,24.11921888
Sandusky,72,7,17,63012,24.04634079
Scioto,73,7,31,80116,30.34532583
Seneca,74,7,22,62502,23.74464489
Shelby,75,7,10,41079,15.81109691
Stark,76,7,155,382326,144.9883812
Summit,77,7,200,537697,203.768579
Trumbull,78,7,87,240477,91.58556748
Tuscarawas,79,7,33,80918,30.68116889
Union,80,7,11,28251,10.69373968
Van Wert,81,7,12,29746,11.30974854
Vinton,82,7,8,10333,3.997452628
Warren,83,7,24,88477,34.45680239
Washington,84,7,10,59838,22.79828382
Wayne,85,7,20,91174,34.98346363
Williams,86,7,11,35331,13.53370637
Wood,87,7,26,101014,38.46806569
Wyandot,88,7,6,23148,8.802613997
Adams,1,8,12,22273,9.267237472
Allen,2,8,35,110817,45.58861495
Ashland,3,8,18,44818,18.43781381
Ashtabula,4,8,26,101935,42.0497571
Athens,5,8,20,52233,21.82802228
Auglaize,6,8,12,42454,17.53305796
Belmont,7,8,38,82801,33.86454357
Brown,8,8,10,30048,12.4777621
Butler,9,8,103,240620,99.08029533
Carroll,10,8,6,24330,10.14403556
Champaign,11,8,15,32318,13.32657185
Clark,12,8,75,154520,63.22497955
Clermont,13,8,36,109615,45.53630165
Clinton,14,8,11,33281,13.77583785
Columbiana,15,8,43,112298,46.20140273
Coshocton,16,8,14,35741,14.66095893
Crawford,17,8,24,51174,21.03051728
Cuyahoga,18,8,728,1595198,648.057875
Darke,19,8,25,54269,22.33838009
Defiance,20,8,4,38126,15.82345141
Delaware,21,8,17,49367,20.41202884
Erie,22,8,28,78392,32.38831058
Fairfield,23,8,28,84076,34.90702088
Fayette,24,8,7,26641,10.95487201
Franklin,25,8,328,867442,355.8153191
Fulton,26,8,14,35889,14.82226429
Gallia,27,8,13,28853,11.97041443
Geauga,28,8,14,67732,28.28219831
Greene,29,8,26,125767,52.53866801
Guernsey,30,8,19,40557,16.57009586
Hamilton,31,8,430,892969,362.4352302
Hancock,32,8,15,63888,26.25820344
Hardin,33,8,12,32064,13.33092198
Harrison,34,8,14,17685,7.312464946
Henry,35,8,11,28408,11.78078958
Highland,36,8,16,31322,12.91500886
Hocking,37,8,11,22322,9.247384819
Holmes,38,8,3,27350,11.34668837
Huron,39,8,19,53732,22.12151035
Jackson,40,8,14,29443,12.06104491
Jefferson,41,8,45,94755,38.92051823
Knox,42,8,19,44454,18.37818558
Lake,43,8,62,209085,86.62627393
Lawrence,44,8,45,59133,24.32541092
Licking,45,8,52,115493,47.73962025
Logan,46,8,17,38131,15.745216
Lorain,47,8,97,268486,110.9562357
Lucas,48,8,249,484940,198.5089706
Madison,49,8,5,32344,13.78677145
Mahoning,50,8,139,289591,118.4248901
Marion,51,8,33,67843,28.30162883
Medina,52,8,24,96819,40.31215213
Meigs,53,8,14,21537,8.924071813
Mercer,54,8,21,37978,15.7185399
Miami,55,8,39,88455,36.4066836
Monroe,56,8,8,15839,6.592358384
Montgomery,57,8,268,583121,238.9573747
Morgan,58,8,5,13448,5.527631262
Morrow,59,8,8,25974,10.84828726
Muskingum,60,8,34,81894,33.44632541
Noble,61,8,5,11134,4.621954289
Ottawa,62,8,24,40023,16.56313233
Paulding,63,8,3,20807,8.644704232
Perry,64,8,12,30410,12.63341827
Pickaway,65,8,13,44317,18.53789854
Pike,66,8,5,21126,8.806480371
Portage,67,8,34,132523,55.16257421
Preble,68,8,12,36175,14.97982593
Putnam,69,8,8,33279,13.86890194
Richland,70,8,48,130963,54.39093936
Ross,71,8,18,62465,26.40081961
Sandusky,72,8,17,63866,26.3461507
Scioto,73,8,40,81275,33.34192324
Seneca,74,8,25,62259,25.57600178
Shelby,75,8,11,41667,17.32463179
Stark,76,8,157,377968,154.9472942
Summit,77,8,225,540074,221.2807001
Trumbull,78,8,75,243923,100.411311
Tuscarawas,79,8,47,81885,33.59290152
Union,80,8,11,27682,11.33457769
Van Wert,81,8,18,29656,12.2092026
Vinton,82,8,4,10425,4.359428498
Warren,83,8,29,88513,37.23746534
Washington,84,8,20,61101,25.20113581
Wayne,85,8,31,94728,39.31450048
Williams,86,8,9,35238,14.59145738
Wood,87,8,32,99552,40.98731339
