"","distance_from_home","distance_from_last_transaction","ratio_to_median_purchase_price","repeat_retailer","used_chip","used_pin_number","online_order","fraud"
"2940",63.0112988168661,0.332632676796053,0.331662251702752,1,0,0,0,0
"5632",3.305255189717,0.921896710823455,0.698768713462745,1,0,0,0,0
"9200",171.341976084497,1.75977061871085,0.225240928976035,1,0,0,1,1
"13124",1.65956386296488,86.6388355742861,0.422376234104456,0,1,0,1,1
"12521",9.73043266816233,9.68784547603702,5.84792306055034,1,0,0,1,1
"3830",7.92644076137098,0.338211821530624,0.472512845780826,1,1,0,0,0
"6140",1.84583384206861,1.20278681540963,3.16648151553551,0,0,0,0,0
"8376",5.25042994168922,0.262415862610101,0.321774116710157,1,0,0,1,0
"9173",3.16180251519265,6.73273494284031,7.5751505750676,1,1,0,1,1
"14268",43.9225982030281,1.97437245368191,7.76593459525721,1,1,0,1,1
"15111",34.676331079616,1.26041205828012,4.46101788237055,1,0,0,1,1
"11653",6.20689924010117,1.07697467669584,4.65589396636835,1,1,0,1,1
"15802",9.1240848190341,2.29749650304041,8.10576333851672,1,1,0,1,1
"5027",35.9275007654575,0.0340649062587326,0.468193298408693,1,1,0,1,0
"17680",42.8151944603717,1.2142274869269,5.93310055512454,1,1,0,1,1
"14872",34.6516076262971,12.8986466096408,5.938583642815,1,1,0,1,1
"12529",2.28465306668105,0.83367034076521,7.44054510843985,1,0,0,1,1
"1567",1.58412669459831,2.81895803411008,1.52976915939557,0,0,0,1,0
"9829",1.91985120721603,5.88881935970706,15.8743393745885,1,0,0,1,1
"8065",4.69016753156386,0.0654165899413197,0.350315591992407,1,1,1,0,0
"7732",46.4294076057691,4.64175717491065,2.26351413889799,1,1,0,1,0
"16297",2.95381247393111,2.22620746847324,9.71492699440816,1,0,0,1,1
"10107",7.85120849441152,28.9511125709993,10.3150620491308,1,1,0,1,1
"15941",4.61097894698312,140.566177408831,2.00468030486483,1,0,0,1,1
"17099",137.312803609594,0.792878434763696,0.455357052784079,1,0,0,1,1
"7718",30.4741379203213,7.7531592778096,0.60275298070598,1,0,0,1,0
"3373",9.89208222549931,4.06639590906045,4.22248350983806,1,0,0,0,0
"1521",18.7079581652659,1.03055487673025,1.88866682413658,1,0,1,0,0
"15867",3.9637227788101,0.533164318442478,4.20012780663697,1,1,0,1,1
"13385",37.8455653933394,0.384280933752072,7.98319724803691,1,0,0,1,1
"2324",8.09803827982406,0.217915146063963,0.139859543798308,1,1,0,1,0
"17337",0.71285253028157,57.3758864715661,0.41199028385131,0,0,0,1,1
"15987",25.2162738473452,2.15380253519021,4.24147296351407,1,1,0,1,1
"13068",1.64420281548442,2.22748617673497,11.8963905497271,0,0,0,1,1
"5598",27.1819843297652,0.487442332098922,0.938758580860612,1,1,0,0,0
"11278",9.6236728193484,0.985591555066982,9.24817241891117,1,1,0,1,1
"6892",16.5900529680644,1.77732352088922,1.28408246189014,1,1,0,1,0
"15247",6.6613376824262,2.56367998427033,11.0352090024532,1,0,0,1,1
"3961",4.06893802765348,1.43944181564128,0.128486881752031,1,1,0,1,0
"11964",25.0262342333648,54.6099096827841,0.426061633441892,1,0,0,1,1
"11218",3.90255464936879,2.47279298751019,4.22889128245031,1,0,0,1,1
"11303",46.3973737428829,24.2143916985997,7.81275789135602,1,0,0,1,1
"2812",51.6247606142306,3.5940025046092,0.65008897155617,1,0,0,1,0
"6039",3.73920358110349,0.557426522525165,0.874291722706425,1,1,0,1,0
"9656",7.87733291653502,8.38370253725806,6.53529527508539,1,1,0,1,1
"14441",9.58407970232401,1.55537776324365,5.47632303276933,1,0,0,1,1
"10804",5.17693753339284,0.0736816176864801,5.73828030930314,1,1,0,1,1
"14769",1.86052808833111,0.0741786356728365,6.79014422929108,0,0,0,1,1
"10591",2.82387553068919,0.266401140895374,15.2711562730964,1,0,0,1,1
"6475",8.93060037503071,0.911521362313056,1.73547322883332,1,1,0,1,0
"16223",582.326476710729,0.0912304295633931,0.596915289388004,1,0,0,1,1
"16332",257.068362681861,1.11092394583241,1.82251221699772,1,0,0,1,1
"2815",2.33170474769877,10.9456518251921,2.43536741021263,1,0,0,0,0
"5656",9.25030198085865,0.467113557728273,0.78933623067466,1,0,0,1,0
"17685",21.6144692556684,1.92379500099932,5.18145289221412,1,0,0,1,1
"15684",105.302940744626,1.91265443956346,1.67921162805144,1,0,0,1,1
"4054",3.58428374051727,1.43040188548223,0.767294491506387,1,0,0,0,0
"16408",172.599748425002,3.43894346139245,2.45100018721947,1,0,0,1,1
"8652",55.4110994610144,0.267620189326319,3.47328440896452,1,1,0,0,0
"15433",49.9361458037618,0.0664775780103971,6.1566765019202,1,1,0,1,1
"2255",7.6708072303978,1.14873193862285,1.17055801829818,1,1,0,1,0
"11399",8.90251125720678,4.23597914581749,9.34867012729266,1,1,0,1,1
"14759",189.093242565347,3.56450825457298,3.29380771799012,1,0,0,1,1
"8782",10.1641162271502,0.00551737551359473,0.736423564054845,1,0,0,1,0
"1152",3.50036186060711,2.19333911641779,0.880434744154036,1,0,0,1,0
"12499",139.933120204475,0.688946348080848,6.63724750677441,1,0,0,1,1
"3710",10.490374108981,17.8731491749309,1.56870166971476,1,0,0,1,0
"8836",8.48945991014907,0.43018392743458,0.934976502012045,1,0,0,0,0
"10710",57.8266467346475,0.171250950789212,5.50266261462505,1,0,0,1,1
"14203",176.444548362859,4.8419136557485,3.85428699071933,1,0,0,1,1
"11345",12.1091558805993,0.423353211060968,8.14858741422366,1,0,0,1,1
"8896",40.6988068270127,1.0231930490799,4.04416534705758,1,1,1,0,0
"5904",37.2983979183989,14.9167015845508,0.187876497593981,1,0,0,1,0
"16246",39.7011448424219,0.246095076446996,6.56149474574405,1,0,0,1,1
"987",11.7545917668239,0.0756946372104397,0.29489540412368,1,1,0,1,0
"15228",5.85486505358859,3.54078697124767,4.74150942281918,1,0,0,1,1
"1387",1.48608945083018,0.790428124365594,0.278407182797825,0,0,0,1,0
"9923",38.6705012827532,0.499742427524426,4.52684164763239,1,1,0,1,1
"12276",3.30506113473007,4.22976793873938,5.40681674145873,1,0,0,1,1
"6672",14.2436975735832,0.803595609655073,0.337550344268117,1,0,0,1,0
"11249",0.801894653908102,19.5937034274349,5.02603321015571,0,0,0,1,1
"12316",10.1148791075996,2.10719611022644,5.718393305359,1,0,0,1,1
"17484",0.97350108075344,7.63487111953523,4.39089740116263,0,0,0,0,1
"17086",12.7309873865854,0.833424055203707,9.54955075260265,1,0,0,1,1
"4037",5.63331866791522,10.5703685323118,1.25654038051923,1,0,0,1,0
"1723",56.7551659703254,2.32104025156227,0.937487799571472,1,1,0,1,0
"3000",12.3619575230547,3.74237987170903,3.96332611866862,1,0,0,0,0
"7221",15.7338430513431,8.39353750927938,0.0963573352323048,1,0,0,1,0
"13875",146.001416449293,0.483456316614117,25.5330171250953,1,0,0,0,1
"1013",2.98305223971483,1.82541286782115,0.753131586072927,1,0,1,0,0
"12761",54.0135080006043,14.4387984738021,4.38429145320438,1,0,0,1,1
"13088",109.427959509145,4.14710294754815,0.786227476961756,1,0,0,1,1
"15323",9.6945429069076,0.322188991275561,7.57466682352207,1,1,0,1,1
"14930",7.52386176622162,0.26413913892549,6.63837447544683,1,0,0,1,1
"3024",58.5813007804535,1.59865089483196,1.69024878843038,1,0,0,1,0
"3444",19.5485921829739,3.15927797486263,1.8346355883064,1,0,0,1,0
"4254",4.6236991758473,0.0351423762951986,0.819287480617991,1,0,0,1,0
"10984",195.499053662656,0.52013770853252,2.28596880901548,1,0,0,1,1
"7926",8.79108466068647,4.48336215001813,0.123225646638338,1,0,0,1,0
"16635",4.52108700054141,0.475791403623033,4.84424169167725,1,0,0,1,1
"13985",8.08067963056386,0.884497445385934,10.2241619083399,1,0,0,1,1
"13403",137.980903692636,1.03038790269957,0.770711017258949,1,0,0,1,1
"5214",271.689089370024,0.0844097131025095,0.764903610626882,1,0,0,0,0
"14956",161.251782707938,5.85205440514405,0.543766622441466,1,0,0,1,1
"8911",2.71621768191001,0.246842294546599,0.733539963079674,1,0,0,1,0
"15424",5.06145163590441,1.85266867793142,10.7395886483936,1,0,0,1,1
"3919",3.67715163322245,0.302074757454242,0.623984061661578,1,0,0,1,0
"13269",52.058923791765,0.201035465110818,4.77753601802684,1,1,0,1,1
"6914",2.94867318281217,0.786496612757702,2.8437197420089,1,0,0,1,0
"5536",12.9535372022932,4.93614717424632,1.13979524266904,1,1,0,0,0
"4108",3.21859214230384,8.21267505383061,0.293829548066778,1,0,0,1,0
"12456",10.6748799199737,0.0845102743923359,7.61504968627273,1,0,0,1,1
"5260",58.9554388180814,0.1175523059502,1.22163962760947,1,0,1,1,0
"13823",1.17029241358803,0.67566571412016,5.67329968298242,0,0,0,1,1
"11341",19.4579995069915,51.2945813753862,0.521844619164405,1,0,0,1,1
"428",0.644626113777796,1.12853110748885,3.75904149995975,0,1,0,1,0
"10336",2.97571932890443,3.63645848108237,9.67966232579048,1,0,0,1,1
"946",5.0668870483792,1.93939688619104,32.9830076784452,1,0,1,0,0
"11825",120.272065695118,4.92728175967688,2.90737994150938,1,0,0,1,1
"790",4.81262854492979,0.0525198932129877,1.38163295505258,1,0,0,0,0
"13038",3.01734464210547,0.245158560455697,6.89514057037577,1,0,0,1,1
"3438",7.89130790653068,1.36864595095934,1.02805586299822,1,0,0,0,0
"3660",4.5360116716013,4.30849621824103,0.938418238397839,1,0,0,1,0
"11829",13.5475007973447,2.46945087057802,14.2468788539034,1,0,0,1,1
"17394",73.8929437213875,0.300207590199282,4.15575764370902,1,1,0,1,1
"8459",3.81876488943587,0.427338331993129,1.32162407704548,1,0,0,1,0
"14521",39.8789809836449,42.6505883715156,8.29738776745532,1,0,0,1,1
"17335",250.260403736529,0.12340850813308,0.810684886774751,1,0,0,1,1
"13476",148.303927498851,0.52942359713984,3.55176621294165,1,0,0,1,1
"10411",11.0332437139545,176.210660780831,0.421068906973331,1,0,0,1,1
"3631",14.6800969535322,0.559313735402647,3.98234531393805,1,1,1,1,0
"9181",108.746498057498,0.744609724848788,0.213795971735752,1,0,0,1,1
"11295",13.624784448848,30.1771469015965,30.5570739443781,1,1,0,1,1
"7099",29.6057077090519,0.856022016338093,3.46385259627772,1,0,0,1,0
"8231",8.68598925884073,2.15038420377355,0.491616804588455,1,0,0,0,0
"14552",134.482749024931,1.96274492045416,3.95007677673282,1,0,0,1,1
"6192",10.9318154525636,0.211586129770677,3.96628496516238,1,1,0,1,0
"17342",27.1593207495502,0.173119678824786,5.44983453195847,1,0,0,1,1
"16575",18.0767126616146,0.0160561452253811,5.60285661524531,1,0,0,1,1
"6330",5.92259971255671,13.0316940255008,3.1280858148606,1,0,1,1,0
"15509",38.5957612341597,1.63502161166428,5.56966752556257,1,0,0,1,1
"15516",9.59121570685786,0.207954781752681,4.40707979857525,1,0,0,1,1
"13225",5.42125468565373,0.286107329394261,4.02231844898848,1,1,0,1,1
"15571",35.2237062543546,0.107754520965464,8.41103971960588,1,0,0,1,1
"4453",5.77094193824218,0.627457832112824,0.123581993513448,1,1,1,1,0
"4720",8.86869912287848,0.741855207434984,0.414433232931126,1,0,0,0,0
"14446",1.84613073979422,0.839579307204242,5.12158598371748,0,0,0,1,1
"15391",5.28898188706267,0.438788061239357,10.1036310118047,1,1,0,1,1
"11176",223.830835089338,1.24552824653559,2.34905046132865,1,0,0,1,1
"10916",12.2655777191133,0.319167165409061,9.82162540187754,1,0,0,1,1
"12335",2.84364715040438,0.0175884894186858,4.86607594577531,1,1,0,1,1
"17559",15.7471203559374,0.282923462397539,10.7095682297166,1,0,0,1,1
"7706",1.49000238787973,0.355525154367885,0.0969522132940303,0,0,0,0,0
"7299",3.63051392335344,0.42766088613291,2.3516105428,1,1,1,0,0
"3229",40.2435333289486,2.16199371798264,2.65302737808517,1,1,1,0,0
"3818",8.34118436150252,1.95636191431846,1.49262529419718,1,1,0,1,0
"16278",47.062279961724,0.827033618110937,4.20695422792858,1,0,0,1,1
"8964",23.2400228163659,0.667309297191146,10.2480638843037,1,0,0,0,0
"14402",6.23362254426037,21.8678208850773,7.47688406394835,1,0,0,1,1
"17406",5.88925665767719,0.278171294205458,4.63825116353395,1,0,0,1,1
"17604",15.6528432707228,0.486431500207768,7.08643359680538,1,0,0,1,1
"9461",6.78742063671652,77.4954710397453,0.717078126468906,1,0,0,1,1
"7689",2.05955364616181,0.40524360516799,1.48451378538497,1,0,1,0,0
"15413",48.8783874189061,1.5748867471458,5.62600583595409,1,1,0,1,1
"11089",19.5131916624609,1.0493970914321,13.6772155058537,1,1,0,1,1
"12880",631.110492677181,0.265494377717806,2.81659861477726,1,0,0,1,1
"1142",24.8887724064513,0.0268590262180567,0.417593997599945,1,0,0,0,0
"12549",284.347030585183,1.6804024472176,0.25078241156267,1,0,0,1,1
"5883",1.35376751260664,3.00759739685489,0.318401364766478,0,1,0,0,0
"16108",543.622848078034,0.594337570858913,2.32992441879716,1,0,0,1,1
"5569",2.99603828546567,0.0159759298088053,0.624956810985679,1,0,0,1,0
"6697",0.632448203194735,1.38471948709003,2.52834732417435,0,1,1,0,0
"16368",1.80729627764877,0.357014025250345,9.40440171161525,0,0,0,1,1
"8579",2.41044430986784,0.501253924919601,1.09208343023432,1,1,0,0,0
"8431",11.7143520477419,3.18409239689057,0.177223051173007,1,1,0,0,0
"16539",0.0729359778290055,2.06203474467113,6.87362735293914,0,0,0,0,1
"14624",18.9527085712778,0.938866707169172,4.51221252173159,1,0,0,1,1
"6811",4.24684270678302,16.8485178077094,1.47960498808868,1,0,0,1,0
"13155",335.429238131155,0.00248391178342141,10.5529170790055,1,1,0,1,1
"381",11.3826839498571,7.41056738668074,2.36035362059094,1,1,0,1,0
"11490",53.1623591498497,3.96187340341803,9.13209323011191,1,0,0,1,1
"4002",6.0338728221103,3.81009043203892,1.09089245845332,1,0,0,1,0
"8033",14.6194954897899,1.4199850009006,0.750513493568556,1,0,0,1,0
"8655",9.53667150755039,53.0245225304603,2.66329587331357,1,1,1,1,0
"12473",141.012892836574,1.71350729763405,2.41049729636471,1,0,0,1,1
"10052",22.986291530564,17.4185628456083,4.56148098943679,1,0,0,1,1
"14923",3.0977686756493,0.680064645418179,4.04808599734537,1,0,0,1,1
"4418",11.5435164615491,0.409373378374106,1.5787513824746,1,0,0,1,0
"10930",8.00583641515805,0.317488144718977,9.55500469578763,1,1,0,1,1
"12025",4.26906670942693,0.130959129476677,5.12374483018828,1,0,0,1,1
"15982",144.611675173788,7.17671379316925,1.14831888264214,1,0,0,1,1
"17592",1.84338927788023,1.13674169053664,10.5297712107894,0,1,0,1,1
"13368",5.85197431405411,1.08692910518607,5.1954718711113,1,0,0,1,1
"3887",7.62402419653064,1.96458065103935,0.139151334181156,1,0,0,0,0
"9344",6.05236640757206,0.108052834048705,16.193856890171,1,0,0,1,1
"16511",42.300031393193,0.176551026299181,4.76132327060538,1,0,0,1,1
"13020",24.1465241865811,0.769339535662959,6.84422191255289,1,1,0,1,1
"3178",55.6261538597979,5.05257780937327,0.739543472608767,1,1,0,0,0
"14061",276.194023749351,9.34918106564689,2.37859556120494,1,0,0,1,1
"13090",244.962035675248,7.65438823676907,0.794762089542027,1,0,0,1,1
"14202",64.0468684439447,0.0868697401022666,5.35825404598569,1,0,0,1,1
"5148",7.6738537625034,0.0617631218445103,3.82484145418183,1,0,0,1,0
"15049",13.6007425158319,213.47398432066,4.33516094703427,1,0,0,0,1
"173",22.4678827511459,18.8168087414782,0.411394986527254,1,0,0,0,0
"14555",69.5937435509302,3.46379862869896,6.59935574601002,1,0,0,1,1
"12407",3.10166911506063,38.5187067171868,7.79526154500637,1,1,0,1,1
"3836",13.5729806539383,2.13344599375178,0.640589407512399,1,0,1,1,0
"11911",9.02539214370758,0.650236294388173,6.08656068455536,1,0,0,1,1
"14123",2.20138702623365,0.200392639479066,4.70255237680409,1,0,0,1,1
"16524",0.396911799665161,1.80548383387316,4.26939973725415,0,0,0,0,1
"13653",14.721745521003,29.853793665922,6.14595945392086,1,0,0,1,1
"8397",20.4361792889067,1.85935570396941,0.68042575364502,1,0,0,1,0
"14828",31.0166737597539,4.49431204932798,6.20353913291226,1,0,0,1,1
"6608",25.1659532275355,0.462869610797568,0.389195337787168,1,1,0,1,0
"10025",2.665545794588,0.0494829388529389,7.67620702905021,1,0,0,1,1
"3439",0.734443167050928,5.63416012881234,3.29022504107432,0,0,0,0,0
"12826",7.22086864934545,0.38555246009773,5.38691318260609,1,0,0,1,1
"8845",19.2033049543066,1.6624634449286,15.0672946963688,1,0,0,0,0
"10085",220.529967472433,5.64905439244176,10.3400066757554,1,0,0,0,1
"299",23.1504727728674,0.0387970712581979,0.898316181372977,1,0,0,0,0
"1039",7.44285361697363,0.148763088412676,0.0984056635537666,1,1,0,1,0
"11338",122.811278271472,16.2750707319447,0.140111121780679,1,0,0,1,1
"8597",18.7705186465558,0.559025064495047,3.83716774849669,1,1,0,1,0
"15814",2.03368787563918,1.35656259685046,4.32901688931313,1,0,0,1,1
"4825",66.718911433985,7.22072572681073,0.43484531606153,1,0,1,1,0
"11717",27.2671470997988,0.120394105321151,7.32277115316164,1,0,0,1,1
"3116",2.08038039688545,0.981884652806341,0.749462888889439,1,0,0,1,0
"15031",4.99067065866763,3.24369601668961,5.19626216180867,1,1,0,1,1
"15104",23.3368414135007,1.05174518076799,5.29894139190571,1,1,0,1,1
"8828",3.83326065685188,0.0232647543473137,0.757496278424517,1,1,0,0,0
"1504",7.00133208389325,49.0130392881782,3.59704904014463,1,1,0,1,0
"1935",21.2268423285964,0.227286814013391,0.571287795459732,1,0,0,1,0
"17759",9.79921780578568,0.352945081935026,4.17565138280132,1,0,0,1,1
"321",9.51712889297165,0.482208602971596,0.102612005103251,1,1,0,1,0
"1717",3.36282125146075,0.29268595636572,0.334788532441828,1,0,1,0,0
"8536",6.39902987951277,0.424453421424111,0.968584601695421,1,1,0,0,0
"9341",80.2976733849169,3.13284305717837,4.30708263716601,1,0,0,1,1
"8754",1.74072413245893,21.8785718037537,1.94575237796685,0,0,0,1,0
"8640",63.8590178477082,1.47024090109279,1.69690801124767,1,1,0,0,0
"4568",0.216021416712023,0.875812689975774,0.346731541411803,0,0,0,0,0
"2746",136.728316035732,0.259495122957783,1.0316968335056,1,0,1,0,0
"15582",5.17100125009651,0.395397275445906,4.36838969641065,1,1,0,1,1
"17221",1.83229841860394,8.85373617114989,10.9636023051905,0,0,0,0,1
"1712",70.2943990211412,0.36484459656293,2.4802896574637,1,0,0,0,0
"10265",7.87337143779453,51.1256956342928,1.40721980900999,1,0,0,1,1
"12690",64.6518360472532,56.7262500481585,1.18624850212027,1,0,0,1,1
"14706",547.969314313447,0.300087911167852,0.185794332195418,1,0,0,1,1
"16742",6.18645109371006,0.097030716672835,9.73923688614825,1,0,0,1,1
"8567",2.49600996168451,0.142525004621041,2.67278188112778,1,1,0,1,0
"4185",32.8612829055422,5.34026693568076,0.221113932869656,1,0,0,0,0
"9903",128.83348890399,0.397047821584901,2.86713484196203,1,0,0,1,1
"5183",4.69935185248392,0.3847440104096,4.73501068608013,1,0,0,0,0
"4598",72.1038180782875,0.404849764802196,12.9531121935394,1,0,0,0,0
"1300",5.4140017937913,7.2484444357523,0.318891769289368,1,0,0,0,0
"15497",4.09141187633835,2.63516751603144,4.01234067822976,1,0,0,1,1
"4695",7.8866986339248,35.5380585403903,1.1139864229185,1,0,0,0,0
"8716",7.99581155243623,0.158641018872914,0.366553318345918,1,1,0,1,0
"4165",7.08537921647129,0.264383525744413,0.335276214928634,1,0,0,1,0
"6198",21.7075435562365,0.256750825012603,0.114759151476158,1,0,0,0,0
"1602",27.5621528801532,1.03088850259024,8.48807444670131,1,1,0,0,0
"4423",10.281636583935,6.3853527863614,0.68405394985524,1,1,0,1,0
"3513",7.59645056682176,10.2690101552884,0.733417257936227,1,0,0,0,0
"6306",11.8585035545774,0.139168104454804,1.33430462010586,1,1,0,1,0
"7999",10.6324161370049,0.146050750478624,1.05874466764787,1,0,0,1,0
"6934",7.0664852198106,0.0153962064119229,1.56283250408963,1,1,0,1,0
"11446",7.76192782268817,5.09526319966151,4.69436461726288,1,1,0,1,1
"3653",108.478813400136,0.0329634515096917,0.655826860462399,1,0,0,0,0
"4228",22.6456495547932,1.16428619436209,0.597767056950301,1,1,0,0,0
"347",3.78154946807173,1.65842379205645,2.30757577172959,1,0,0,1,0
"16507",4.62892357190345,0.109205840951414,10.6707634760762,1,1,0,1,1
"16747",6.03692037241295,0.517138115109445,4.24548302525656,1,0,0,1,1
"3088",145.103962200686,1.04825991387624,5.51931417505554,1,1,1,1,0
"4590",0.55507443600212,3.54322448202517,2.6352451669749,0,0,0,1,0
"15512",7.83714569321732,1.38934933257602,7.24662736722344,1,0,0,1,1
"4251",3.93725442120699,0.377381549900295,0.730051214177466,1,0,0,1,0
"4022",15.1605876807132,0.204153426298219,2.38236429666757,1,0,0,1,0
"16150",0.660694682853509,0.852463888845541,9.68491436414558,0,0,0,1,1
"8256",72.4698951350585,1.00442392592165,0.752494217681774,1,0,0,0,0
"11530",46.6094212449951,42.1726009815172,6.60758378856216,1,0,0,1,1
"3356",10.6046541273301,0.988517246952311,0.346653867051064,1,0,0,1,0
"1577",19.0335277416447,1.80500239971043,0.31868828830992,1,0,0,1,0
"9933",10.234777851402,0.0250332368299642,6.47787995508487,1,0,0,1,1
"5659",17.1150833857171,3.9093429017584,0.466142571216234,1,0,0,1,0
"7873",32.7524364823755,0.727508304480467,2.64123145111137,1,0,0,0,0
"7694",9.89479416739425,0.74573198176806,1.81951295728331,1,1,0,0,0
"5906",16.1316076321688,1.61308974519613,1.22295293183528,1,0,0,1,0
"11701",1.12393676767157,10.9159265479334,21.2851467553552,0,0,0,1,1
"13360",46.9249213074972,0.0213240645726723,5.15753237314402,1,1,0,1,1
"8426",311.860593115379,0.704830012442266,0.12878798139489,1,1,0,1,0
"1614",23.3791289731963,3.08118799002365,1.67773598268644,1,0,0,0,0
"2302",24.7375624522698,0.170666799668777,0.318823932605713,1,1,1,1,0
"6932",14.3320707101731,0.348767234024002,1.82542288203967,1,1,0,0,0
"7894",232.779906088674,0.166914701070816,0.344790929244541,1,0,0,0,0
"17084",305.858173474992,10.6642132682445,1.37995573660012,1,0,0,1,1
"16912",18.3865258936361,0.269523535978833,4.64383536183612,1,0,0,1,1
"3617",10.9250443130321,0.296106538436411,0.353099188369832,1,1,0,1,0
"5892",0.710321663131052,0.0744323818526276,0.235539456986623,0,1,0,1,0
"7832",51.4030802888308,1.39431034359024,0.575352235403218,1,0,0,1,0
"4815",5.74345338768717,0.027995832011643,0.109486267477564,1,1,0,1,0
"3774",3.01685352939166,10.0043209005188,0.0757788969820527,1,0,1,1,0
"12555",21.6698350921537,1.09563372509475,7.63100485655062,1,0,0,1,1
"3021",4.10804880278819,3.01330599160357,1.75298624850419,1,0,0,0,0
"16245",4.72699208966504,2.07255909716826,5.70652471414256,1,0,0,1,1
"2526",25.4976783897661,0.115980933001514,0.577799707775725,1,0,0,1,0
"5274",5.5552853368761,9.2799551243682,0.761754404392396,1,0,0,1,0
"10290",26.8928084758944,112.938971330239,11.3474361483172,1,1,0,1,1
"1881",17.1179414106186,6.21953401736967,0.607735076700748,1,0,0,1,0
"10169",50.758760205263,0.568211412350525,4.2996806904406,1,0,0,1,1
"9575",2.60946092940612,0.0543574235724733,7.69964019404001,1,1,0,1,1
"8030",18.0865079389665,2.40400456921575,2.32839096978748,1,0,0,0,0
"5570",1.75342501043577,0.304369094669765,4.01856281487857,0,0,1,1,0
"5433",2.5228517231931,0.0671073747655612,0.404207021831815,1,0,1,1,0
"12630",0.595762346623155,0.939047320737466,4.74159647276666,0,0,0,1,1
"15144",1.32564964258056,1.562001969685,4.43420456928958,0,1,0,1,1
"4956",13.0229777783617,0.829327997869992,1.28183717171232,1,1,0,1,0
"10816",225.199179491759,3.83747040591059,1.37488111658246,1,0,0,1,1
"14833",192.175800323708,2.81234215454588,15.4053971637135,1,0,0,1,1
"10112",6.08376103503605,0.409434537284392,16.0000614422637,1,1,0,1,1
"199",3.75558638170281,0.399788854841191,0.5132905576003,1,1,0,1,0
"17498",10.7697921534366,4.43888514362357,4.47267658860165,1,0,0,1,1
"3474",18.7272110526278,0.218609818883014,1.43459398730974,1,0,0,1,0
"8584",13.790290150333,0.00454054069806799,4.6459602781113,1,0,0,0,0
"10678",7.4804782658467,1.92406269624167,4.29074597199499,1,0,0,1,1
"8424",11.3348031472878,0.306159558025505,0.429406358411017,1,0,0,0,0
"7011",90.2994983292434,6.31627285655606,0.53124228483414,1,1,0,1,0
"12215",125.909227755883,0.0124202229619559,0.966636777015029,1,0,0,1,1
"16657",0.886703855216923,0.10870521217623,6.66564154868016,0,0,0,0,1
